City,city_lower,city_manchester_manually_adjusted
Abington,abington,abington
Acton,acton,acton
Acushnet,acushnet,acushnet
Adams,adams,adams
Agawam,agawam,agawam
Alford,alford,alford
Amesbury,amesbury,amesbury
Amherst,amherst,amherst
Andover,andover,andover
Aquinnah,aquinnah,aquinnah
Arlington,arlington,arlington
Ashburnham,ashburnham,ashburnham
Ashby,ashby,ashby
Ashfield,ashfield,ashfield
Ashland,ashland,ashland
Athol,athol,athol
Attleboro,attleboro,attleboro
Auburn,auburn,auburn
Avon,avon,avon
Ayer,ayer,ayer
Barnstable,barnstable,barnstable
Barre,barre,barre
Becket,becket,becket
Bedford,bedford,bedford
Belchertown,belchertown,belchertown
Bellingham,bellingham,bellingham
Belmont,belmont,belmont
Berkley,berkley,berkley
Berlin,berlin,berlin
Bernardston,bernardston,bernardston
Beverly,beverly,beverly
Billerica,billerica,billerica
Blackstone,blackstone,blackstone
Blandford,blandford,blandford
Bolton,bolton,bolton
Boston,boston,boston
Bourne,bourne,bourne
Boxborough,boxborough,boxborough
Boxford,boxford,boxford
Boylston,boylston,boylston
Braintree,braintree,braintree
Brewster,brewster,brewster
Bridgewater,bridgewater,bridgewater
Brimfield,brimfield,brimfield
Brockton,brockton,brockton
Brookfield,brookfield,brookfield
Brookline,brookline,brookline
Buckland,buckland,buckland
Burlington,burlington,burlington
Cambridge,cambridge,cambridge
Canton,canton,canton
Carlisle,carlisle,carlisle
Carver,carver,carver
Charlemont,charlemont,charlemont
Charlton,charlton,charlton
Chatham,chatham,chatham
Chelmsford,chelmsford,chelmsford
Chelsea,chelsea,chelsea
Cheshire,cheshire,cheshire
Chester,chester,chester
Chesterfield,chesterfield,chesterfield
Chicopee,chicopee,chicopee
Chilmark,chilmark,chilmark
Clarksburg,clarksburg,clarksburg
Clinton,clinton,clinton
Cohasset,cohasset,cohasset
Colrain,colrain,colrain
Concord,concord,concord
Conway,conway,conway
Cummington,cummington,cummington
Dalton,dalton,dalton
Danvers,danvers,danvers
Dartmouth,dartmouth,dartmouth
Dedham,dedham,dedham
Deerfield,deerfield,deerfield
Dennis,dennis,dennis
Dighton,dighton,dighton
Douglas,douglas,douglas
Dover,dover,dover
Dracut,dracut,dracut
Dudley,dudley,dudley
Dunstable,dunstable,dunstable
Duxbury,duxbury,duxbury
East Bridgewater,east bridgewater,east bridgewater
East Brookfield,east brookfield,east brookfield
Eastham,eastham,eastham
Easthampton,easthampton,easthampton
East Longmeadow,east longmeadow,east longmeadow
Easton,easton,easton
Edgartown,edgartown,edgartown
Egremont,egremont,egremont
Erving,erving,erving
Essex,essex,essex
Everett,everett,everett
Fairhaven,fairhaven,fairhaven
Fall River,fall river,fall river
Falmouth,falmouth,falmouth
Fitchburg,fitchburg,fitchburg
Florida,florida,florida
Foxborough,foxborough,foxborough
Framingham,framingham,framingham
Franklin,franklin,franklin
Freetown,freetown,freetown
Gardner,gardner,gardner
Georgetown,georgetown,georgetown
Gill,gill,gill
Gloucester,gloucester,gloucester
Goshen,goshen,goshen
Gosnold,gosnold,gosnold
Grafton,grafton,grafton
Granby,granby,granby
Granville,granville,granville
Great Barrington,great barrington,great barrington
Greenfield,greenfield,greenfield
Groton,groton,groton
Groveland,groveland,groveland
Hadley,hadley,hadley
Halifax,halifax,halifax
Hamilton,hamilton,hamilton
Hampden,hampden,hampden
Hancock,hancock,hancock
Hanover,hanover,hanover
Hanson,hanson,hanson
Hardwick,hardwick,hardwick
Harvard,harvard,harvard
Harwich,harwich,harwich
Hatfield,hatfield,hatfield
Haverhill,haverhill,haverhill
Hawley,hawley,hawley
Heath,heath,heath
Hingham,hingham,hingham
Hinsdale,hinsdale,hinsdale
Holbrook,holbrook,holbrook
Holden,holden,holden
Holland,holland,holland
Holliston,holliston,holliston
Holyoke,holyoke,holyoke
Hopedale,hopedale,hopedale
Hopkinton,hopkinton,hopkinton
Hubbardston,hubbardston,hubbardston
Hudson,hudson,hudson
Hull,hull,hull
Huntington,huntington,huntington
Ipswich,ipswich,ipswich
Kingston,kingston,kingston
Lakeville,lakeville,lakeville
Lancaster,lancaster,lancaster
Lanesborough,lanesborough,lanesborough
Lawrence,lawrence,lawrence
Lee,lee,lee
Leicester,leicester,leicester
Lenox,lenox,lenox
Leominster,leominster,leominster
Leverett,leverett,leverett
Lexington,lexington,lexington
Leyden,leyden,leyden
Lincoln,lincoln,lincoln
Littleton,littleton,littleton
Longmeadow,longmeadow,longmeadow
Lowell,lowell,lowell
Ludlow,ludlow,ludlow
Lunenburg,lunenburg,lunenburg
Lynn,lynn,lynn
Lynnfield,lynnfield,lynnfield
Malden,malden,malden
Manchester-by-the-Sea,manchester-by-the-sea,manchester
Mansfield,mansfield,mansfield
Marblehead,marblehead,marblehead
Marion,marion,marion
Marlborough,marlborough,marlborough
Marshfield,marshfield,marshfield
Mashpee,mashpee,mashpee
Mattapoisett,mattapoisett,mattapoisett
Maynard,maynard,maynard
Medfield,medfield,medfield
Medford,medford,medford
Medway,medway,medway
Melrose,melrose,melrose
Mendon,mendon,mendon
Merrimac,merrimac,merrimac
Methuen,methuen,methuen
Middleborough,middleborough,middleborough
Middlefield,middlefield,middlefield
Middleton,middleton,middleton
Milford,milford,milford
Millbury,millbury,millbury
Millis,millis,millis
Millville,millville,millville
Milton,milton,milton
Monson,monson,monson
Montague,montague,montague
Monterey,monterey,monterey
Montgomery,montgomery,montgomery
Mount Washington,mount washington,mount washington
Nahant,nahant,nahant
Nantucket,nantucket,nantucket
Natick,natick,natick
Needham,needham,needham
New Ashford,new ashford,new ashford
New Bedford,new bedford,new bedford
New Braintree,new braintree,new braintree
New Marlborough,new marlborough,new marlborough
New Salem,new salem,new salem
Newbury,newbury,newbury
Newburyport,newburyport,newburyport
Newton,newton,newton
Norfolk,norfolk,norfolk
North Adams,north adams,north adams
North Andover,north andover,north andover
North Attleborough,north attleborough,north attleborough
North Brookfield,north brookfield,north brookfield
North Reading,north reading,north reading
Northborough,northborough,northborough
Northbridge,northbridge,northbridge
Northampton,northampton,northampton
Northfield,northfield,northfield
Norton,norton,norton
Norwell,norwell,norwell
Norwood,norwood,norwood
Oak Bluffs,oak bluffs,oak bluffs
Oakham,oakham,oakham
Orange,orange,orange
Orleans,orleans,orleans
Otis,otis,otis
Oxford,oxford,oxford
Palmer,palmer,palmer
Paxton,paxton,paxton
Peabody,peabody,peabody
Pelham,pelham,pelham
Pembroke,pembroke,pembroke
Pepperell,pepperell,pepperell
Peru,peru,peru
Petersham,petersham,petersham
Phillipston,phillipston,phillipston
Pittsfield,pittsfield,pittsfield
Plainfield,plainfield,plainfield
Plainville,plainville,plainville
Plymouth,plymouth,plymouth
Plympton,plympton,plympton
Princeton,princeton,princeton
Provincetown,provincetown,provincetown
Quincy,quincy,quincy
Randolph,randolph,randolph
Raynham,raynham,raynham
Reading,reading,reading
Rehoboth,rehoboth,rehoboth
Revere,revere,revere
Richmond,richmond,richmond
Rochester,rochester,rochester
Rockland,rockland,rockland
Rockport,rockport,rockport
Rowe,rowe,rowe
Rowley,rowley,rowley
Royalston,royalston,royalston
Russell,russell,russell
Rutland,rutland,rutland
Salem,salem,salem
Salisbury,salisbury,salisbury
Sandisfield,sandisfield,sandisfield
Sandwich,sandwich,sandwich
Saugus,saugus,saugus
Savoy,savoy,savoy
Scituate,scituate,scituate
Seekonk,seekonk,seekonk
Sharon,sharon,sharon
Sheffield,sheffield,sheffield
Shelburne,shelburne,shelburne
Sherborn,sherborn,sherborn
Shirley,shirley,shirley
Shrewsbury,shrewsbury,shrewsbury
Shutesbury,shutesbury,shutesbury
Somerset,somerset,somerset
Somerville,somerville,somerville
South Hadley,south hadley,south hadley
Southampton,southampton,southampton
Southborough,southborough,southborough
Southbridge,southbridge,southbridge
Southwick,southwick,southwick
Spencer,spencer,spencer
Springfield,springfield,springfield
Sterling,sterling,sterling
Stockbridge,stockbridge,stockbridge
Stoneham,stoneham,stoneham
Stoughton,stoughton,stoughton
Stow,stow,stow
Sturbridge,sturbridge,sturbridge
Sudbury,sudbury,sudbury
Sunderland,sunderland,sunderland
Sutton,sutton,sutton
Swampscott,swampscott,swampscott
Swansea,swansea,swansea
Taunton,taunton,taunton
Templeton,templeton,templeton
Tewksbury,tewksbury,tewksbury
Tisbury,tisbury,tisbury
Tolland,tolland,tolland
Topsfield,topsfield,topsfield
Townsend,townsend,townsend
Truro,truro,truro
Tyngsborough,tyngsborough,tyngsborough
Tyringham,tyringham,tyringham
Upton,upton,upton
Uxbridge,uxbridge,uxbridge
Wakefield,wakefield,wakefield
Wales,wales,wales
Walpole,walpole,walpole
Waltham,waltham,waltham
Ware,ware,ware
Wareham,wareham,wareham
Warren,warren,warren
Warwick,warwick,warwick
Washington,washington,washington
Watertown,watertown,watertown
Wayland,wayland,wayland
Webster,webster,webster
Wellesley,wellesley,wellesley
Wellfleet,wellfleet,wellfleet
Wendell,wendell,wendell
Wenham,wenham,wenham
West Boylston,west boylston,west boylston
West Bridgewater,west bridgewater,west bridgewater
West Brookfield,west brookfield,west brookfield
West Newbury,west newbury,west newbury
West Springfield,west springfield,west springfield
West Stockbridge,west stockbridge,west stockbridge
West Tisbury,west tisbury,west tisbury
Westborough,westborough,westborough
Westfield,westfield,westfield
Westford,westford,westford
Westhampton,westhampton,westhampton
Westminster,westminster,westminster
Weston,weston,weston
Westport,westport,westport
Westwood,westwood,westwood
Weymouth,weymouth,weymouth
Whately,whately,whately
Whitman,whitman,whitman
Wilbraham,wilbraham,wilbraham
Williamsburg,williamsburg,williamsburg
Williamstown,williamstown,williamstown
Wilmington,wilmington,wilmington
Winchendon,winchendon,winchendon
Winchester,winchester,winchester
Windsor,windsor,windsor
Winthrop,winthrop,winthrop
Woburn,woburn,woburn
Worcester,worcester,worcester
Worthington,worthington,worthington
Wrentham,wrentham,wrentham
Yarmouth,yarmouth,yarmouth
