,ID Number,Race/Ethnicity,race_norm_v1,race_norm_v2,race_norm_v3,race_norm_v4,race_norm_v5,race_norm_v6,race_norm_final
0,150733,white ,white,white,white,white,white,white,white
1,439181,hispanic,hispanic,hispanic,hispanic,hispanic,hispanic,hispanic,hispanic
2,697399,black/afr am,black/afr am,black_african_american,black_african_american,black_african_american,black_african_american,black_african_american,black_african_american
3,191565,white ,white,white,white,white,white,white,white
4,226436,white ,white,white,white,white,white,white,white
5,932459,white ,white,white,white,white,white,white,white
6,170029,White,white,white,white,white,white,white,white
7,725305,White,white,white,white,white,white,white,white
8,569863,Black,black,black_african_american,black_african_american,black_african_american,black_african_american,black_african_american,black_african_american
9,746052,Asian,asian,asian,asian,asian,asian_pacific_islander,asian,asian
10,143795,Asian,asian,asian,asian,asian,asian_pacific_islander,asian,asian
11,664234,Hispanic,hispanic,hispanic,hispanic,hispanic,hispanic,hispanic,hispanic
12,23563,"White, Black","white, black",white/black_african_american,white/black_african_american,white/black_african_american,white/black_african_american,white/black_african_american,white/black_african_american
13,749309,White,white,white,white,white,white,white,white
14,53438,White,white,white,white,white,white,white,white
15,688944,White,white,white,white,white,white,white,white
16,170029,White,white,white,white,white,white,white,white
17,474472,White,white,white,white,white,white,white,white
18,943977,White,white,white,white,white,white,white,white
19,746052,Asian,asian,asian,asian,asian,asian_pacific_islander,asian,asian
20,128034,White,white,white,white,white,white,white,white
21,632579,Black,black,black_african_american,black_african_american,black_african_american,black_african_american,black_african_american,black_african_american
22,244846,White,white,white,white,white,white,white,white
23,915281,White,white,white,white,white,white,white,white
24,853663,Asian,asian,asian,asian,asian,asian_pacific_islander,asian,asian
25,194478,Asian,asian,asian,asian,asian,asian_pacific_islander,asian,asian
26,728903,Hispanic,hispanic,hispanic,hispanic,hispanic,hispanic,hispanic,hispanic
27,155867,White,white,white,white,white,white,white,white
28,328954,White,white,white,white,white,white,white,white
29,158422,Asian,asian,asian,asian,asian,asian_pacific_islander,asian,asian
30,842812,White,white,white,white,white,white,white,white
31,635457,White,white,white,white,white,white,white,white
32,713078,White,white,white,white,white,white,white,white
33,200811,White,white,white,white,white,white,white,white
34,254275,White,white,white,white,white,white,white,white
35,21490,White,white,white,white,white,white,white,white
36,191565,White,white,white,white,white,white,white,white
37,439181,Hispanic,hispanic,hispanic,hispanic,hispanic,hispanic,hispanic,hispanic
38,420784,White ,white,white,white,white,white,white,white
39,337927,Asian,asian,asian,asian,asian,asian_pacific_islander,asian,asian
40,697399,Black/Af Am,black/af am,black_african_american,black_african_american,black_african_american,black_african_american,black_african_american,black_african_american
41,784278,Asian,asian,asian,asian,asian,asian_pacific_islander,asian,asian
42,632579,Black/Af Am,black/af am,black_african_american,black_african_american,black_african_american,black_african_american,black_african_american,black_african_american
43,583256,White,white,white,white,white,white,white,white
44,202403,Asian,asian,asian,asian,asian,asian_pacific_islander,asian,asian
45,226436,White,white,white,white,white,white,white,white
46,889368,White,white,white,white,white,white,white,white
47,98038,White,white,white,white,white,white,white,white
48,964251,White,white,white,white,white,white,white,white
49,863169,white ,white,white,white,white,white,white,white
50,759531,white ,white,white,white,white,white,white,white
51,879963,white-north african,white-north african,white-north african,white-north african,white-north african,white_MENA,white_MENA,white_MENA
52,478626,White,white,white,white,white,white,white,white
53,531092,White,white,white,white,white,white,white,white
54,998585,White,white,white,white,white,white,white,white
