,Town - Development - Address,Multiple Sales (Y/N)?,Town,Development,Address,Unit Number:,Age Restricted,Bedrooms,Transaction Start Date,Closing Date,Full/Lite Documentation
0,Andover - Brookside at Andover</br>600L Brookside Drive</br>Unit: 600L,,Andover,Brookside at Andover,600L Brookside Drive,600L,No,2.0,12/12/2021,3/21/2022,Full
1,Andover - Coachman's Ridge</br>170 Haverhill Street</br>Unit: Unit 117,,Andover,Coachman's Ridge,170 Haverhill Street,Unit 117,,1.0,1/8/2024,4/30/2024,Lite
2,Andover - Coachman's Ridge</br>174 Haverhill Street</br>Unit: Unit 313,,Andover,Coachman's Ridge,174 Haverhill Street,Unit 313,,2.0,10/13/2021,1/21/2022,Full
3,Ayer - The Willows</br>16B Longview Circle</br>Unit: Unit 68,,Ayer,The Willows,16B Longview Circle,Unit 68,,2.0,4/25/2023,7/7/2023,Full
4,Ayer - The Willows</br>18A Longview Cir.</br>Unit: 54,,Ayer,The Willows,18A Longview Cir.,54,,2.0,3/7/2025,5/16/2025,Lite
5,Ayer - The Willows</br>28 Longview Circle</br>Unit: Unit 62,,Ayer,The Willows,28 Longview Circle,Unit 62,,3.0,6/5/2024,8/9/2024,Lite
6,Ayer - The Willows</br>3B Longview Cir.</br>Unit: Unit 5,,Ayer,The Willows,3B Longview Cir.,Unit 5,,2.0,1/11/2024,,Lite
7,Ayer - The Willows</br>43B Longview Circle</br>Unit: Unit 30,,Ayer,The Willows,43B Longview Circle,Unit 30,,2.0,5/6/2025,,Lite
8,Bedford - The Village at Bedford Woods</br>1205 Albion Road</br>Unit: 1205,,Bedford,The Village at Bedford Woods,1205 Albion Road,1205,,1.0,12/1/2023,2/14/2025,Lite
9,Bedford - The Village at Bedford Woods</br>1301 Albion Road</br>Unit: 1301,,Bedford,The Village at Bedford Woods,1301 Albion Road,1301,,2.0,5/19/2021,8/16/2021,Full
10,Bedford - The Village at Bedford Woods</br>1301 Albion Road</br>Unit: 1301,,Bedford,The Village at Bedford Woods,1301 Albion Road,1301,,2.0,7/25/2023,4/20/2024,Full
11,Berkley - Jack Henry Estates</br>1 Jack Henry Drive</br>Unit: ,,Berkley,Jack Henry Estates,1 Jack Henry Drive,,,,9/7/2022,12/6/2024,Full
12,Billerica - Barrett Farm</br>41 Boston Road</br>Unit: 233,,Billerica,Barrett Farm,41 Boston Road,233,,2.0,7/12/2021,10/28/2021,Full
