,Town - Development - Address,Multiple Sales (Y/N)?,Town,Development,Address,Unit Number:,Age Restricted,Bedrooms,Transaction Start Date,Closing Date,Full/Lite Documentation
13,Billerica - Barrett Farm</br>41 Boston Road</br>Unit: 432,,Billerica,Barrett Farm,41 Boston Road,432,,2.0,9/2/2021,3/24/2022,Full
14,Billerica - Barrett Farm</br>41 Boston Road</br>Unit: 474,,Billerica,Barrett Farm,41 Boston Road,474,,2.0,1/31/2022,5/20/2022,Full
15,Billerica - Hidden Oaks</br>16 Jaclyn's Way</br>Unit: Unit 18,,Billerica,Hidden Oaks,16 Jaclyn's Way,Unit 18,,3.0,4/3/2025,,Lite
16,Billerica - Salisbury Hill Estates</br>81 Salem Rd.</br>Unit: 73,,Billerica,Salisbury Hill Estates,81 Salem Rd.,73,,2.0,6/14/2022,9/30/2022,Full
17,Braintree - Turtle Crossing</br>501 Commerce Drive</br>Unit: 1-116,,Braintree,Turtle Crossing,501 Commerce Drive,1-116,,1.0,1/3/2024,4/19/2024,Lite
18,Braintree - Turtle Crossing</br>501 Commerce Drive</br>Unit: 2-201,,Braintree,Turtle Crossing,501 Commerce Drive,2-201,,2.0,2/28/2022,6/17/2022,Full
19,Braintree - Turtle Crossing</br>501 Commerce Drive</br>Unit: 4-302,,Braintree,Turtle Crossing,501 Commerce Drive,4-302,,1.0,1/22/2024,9/9/2024,Lite
20,Bridgewater - Old Cedar Village</br>18 Old Cedar Village</br>Unit: 18,,Bridgewater,Old Cedar Village,18 Old Cedar Village,18,,2.0,5/23/2023,4/19/2024,Full
21,Canton - Indian Woods</br>11 Indian Woods Way</br>Unit: ,,Canton,Indian Woods,11 Indian Woods Way,,,2.0,11/30/2023,5/8/2024,Lite
22,Canton - Turtle Brook Village</br>42 Turtle Brook Road</br>Unit: 8-2,,Canton,Turtle Brook Village,42 Turtle Brook Road,8-2,,2.0,11/16/2022,1/20/2023,Full
23,Canton - Turtle Brook Village</br>47 Turtle Brook Road</br>Unit: ,,Canton,Turtle Brook Village,47 Turtle Brook Road,,,2.0,1/1/2022,7/19/2022,Full
24,Carlisle - Laurel Hollow</br>1 Rocky Point</br>Unit: ,,Carlisle,Laurel Hollow,1 Rocky Point,,,2.0,9/28/2022,4/7/2023,Full
25,Dracut - Riverside Landing</br>35 Joseph Avenue</br>Unit: ,,Dracut,Riverside Landing,35 Joseph Avenue,,,3.0,8/1/2023,8/31/2023,Lite
26,Dracut - Riverside Landing</br>53 Joseph Avenue</br>Unit: ,,Dracut,Riverside Landing,53 Joseph Avenue,,,,3/21/2024,,Lite
27,Easthampton - Mountainview Condos</br>211 East Street</br>Unit: 4,,Easthampton,Mountainview Condos,211 East Street,4,,2.0,1/24/2025,5/14/2025,Lite
28,Easthampton - Mountainview Condos</br>211 East Street</br>Unit: 9,,Easthampton,Mountainview Condos,211 East Street,9,,2.0,2/28/2023,6/9/2023,Full
29,Edgartown - Fairway Village</br>1 Magnolia Way</br>Unit: Unit 6,,Edgartown,Fairway Village,1 Magnolia Way,Unit 6,,1.0,1/5/2024,7/16/2024,Lite
30,Falmouth - Dillingham Place (Wise Living)</br>110 Dillingham Avenue</br>Unit: Unit 105,,Falmouth,Dillingham Place (Wise Living),110 Dillingham Avenue,Unit 105,62+,2.0,8/1/2024,12/23/2024,Lite
31,Falmouth - Dillingham Place (Wise Living)</br>110 Dillingham Avenue</br>Unit: Unit 210,,Falmouth,Dillingham Place (Wise Living),110 Dillingham Avenue,Unit 210,62+,2.0,12/5/2024,,Lite
32,Falmouth - Dillingham Place (Wise Living)</br>110 Dillingham Avenue</br>Unit: Unit 211,,Falmouth,Dillingham Place (Wise Living),110 Dillingham Avenue,Unit 211,62+,2.0,5/9/2022,11/30/2022,Full
33,Falmouth - Dillingham Place (Wise Living)</br>110 Dillingham Avenue</br>Unit: Unit 309,,Falmouth,Dillingham Place (Wise Living),110 Dillingham Avenue,Unit 309,62+,2.0,5/16/2023,,Full
34,Falmouth - Dillingham Place (Wise Living)</br>110 Dillingham Avenue</br>Unit: Unit 318,,Falmouth,Dillingham Place (Wise Living),110 Dillingham Avenue,Unit 318,62+,2.0,11/1/2023,1/26/2024,Lite
35,Foxborough - 84 Cocasset Street</br>84 Cocasset Street</br>Unit: Unit B-2,,Foxborough,84 Cocasset Street,84 Cocasset Street,Unit B-2,,1.0,11/29/2023,4/25/2024,Lite
36,Grafton - Hilltop Farms</br>16 Tulip Circle</br>Unit: ,,Grafton,Hilltop Farms,16 Tulip Circle,,,2.0,7/13/2023,11/27/2023,Full
37,Grafton - Hilltop Farms</br>23 Buttercup Lane</br>Unit: 65,,Grafton,Hilltop Farms,23 Buttercup Lane,65,,2.0,8/6/2024,4/29/2025,Lite
38,Grafton - Hilltop Farms</br>7 Buttercup Lane</br>Unit: ,,Grafton,Hilltop Farms,7 Buttercup Lane,,,2.0,10/10/2024,1/7/2025,Lite
39,Grafton - Hilltop Farms</br>72 Buttercup Lane</br>Unit: ,,Grafton,Hilltop Farms,72 Buttercup Lane,,,2.0,12/3/2024,3/14/2025,Lite
40,Great Barrington - Blue Hill Commons</br>6 Emily Court</br>Unit: ,,Great Barrington,Blue Hill Commons,6 Emily Court,,,3.0,9/1/2022,,Full
41,Groton - Groton Residential Gardens</br>503 Main Street</br>Unit: B,,Groton,Groton Residential Gardens,503 Main Street,B,,2.0,8/18/2023,12/22/2023,Lite
42,Groton - Groton Residential Gardens</br>513 Main Street</br>Unit: D,,Groton,Groton Residential Gardens,513 Main Street,D,,2.0,7/31/2024,11/15/2024,Lite
43,Groveland - Groveland Commons</br>28 Groveland Commons Way</br>Unit: ,,Groveland,Groveland Commons,28 Groveland Commons Way,,,2.0,10/31/2022,3/24/2023,Full
44,Hamilton - Carriage House Junction</br>3 Junction Lane</br>Unit: Unit 2,,Hamilton,Carriage House Junction,3 Junction Lane,Unit 2,,3.0,4/28/2022,7/22/2022,Full
45,Hanson - Dunham Farm</br>902 Main Street</br>Unit: Unit 39,,Hanson,Dunham Farm,902 Main Street,Unit 39,55+,2.0,11/14/2024,3/14/2025,Lite
46,Hanson - Dunham Farm</br>902 Main Street</br>Unit: Unit 51,,Hanson,Dunham Farm,902 Main Street,Unit 51,55+,2.0,1/27/2023,5/3/2023,Full
47,"Harvard - Trail Ridge 55+</br>11B Trail Ridge Way</br>Unit: Unit 11B, Building 9",,Harvard,Trail Ridge 55+,11B Trail Ridge Way,"Unit 11B, Building 9",55+,2.0,2/6/2023,5/30/2023,Full
48,"Harvard - Trail Ridge</br>2C Trail Ridge Way</br>Unit: Unit 2C, Building 5B",,Harvard,Trail Ridge,2C Trail Ridge Way,"Unit 2C, Building 5B",,2.0,3/21/2025,,Lite
49,Hingham - Lincoln Hill Condominium</br>9 Adams Court</br>Unit: 9,,Hingham,Lincoln Hill Condominium,9 Adams Court,9,No,3.0,11/4/2024,5/9/2025,Lite
50,Hudson - Esplanade at Main Street</br>248 Main Street</br>Unit: 204,,Hudson,Esplanade at Main Street,248 Main Street,204,55+,2.0,3/21/2024,3/26/2025,Lite
51,Hudson - Esplanade at Main Street</br>248 Main Street</br>Unit: 207,,Hudson,Esplanade at Main Street,248 Main Street,207,55+,2.0,9/26/2024,,Lite
52,Hudson - Esplanade at Main Street</br>250 Main Street</br>Unit: 211 ,,Hudson,Esplanade at Main Street,250 Main Street,211 ,55+,1.0,1/8/2025,4/30/2025,Lite
53,Hudson - Esplanade at Main Street</br>250 Main Street</br>Unit: 211 ,,Hudson,Esplanade at Main Street,250 Main Street,211 ,55+,1.0,11/30/2022,,Full
54,Hudson - Esplanade at Main Street</br>250 Main Street</br>Unit: 317,,Hudson,Esplanade at Main Street,250 Main Street,317,55+,2.0,8/2/2024,3/26/2025,Lite
55,Hudson - Esplanade at Main Street</br>250 Main Street</br>Unit: 317,,Hudson,Esplanade at Main Street,250 Main Street,317,55+,2.0,4/18/2025,,Lite
56,Hudson - Esplanade at Main Street</br>250 Main Street</br>Unit: 410,,Hudson,Esplanade at Main Street,250 Main Street,410,55+,2.0,10/21/2024,2/14/2025,Lite
57,Hudson - Knott's Clearing</br>1 Knotts Street</br>Unit: Unit 1,,Hudson,Knott's Clearing,1 Knotts Street,Unit 1,,2.0,3/24/2025,,Lite
58,Ipswich - Ipswich River Point</br>59 River Point Drive</br>Unit: 28,,Ipswich,Ipswich River Point,59 River Point Drive,28,,2.0,7/8/2024,10/31/2024,Lite
59,Ipswich - Safford Street</br>6 Safford Street</br>Unit: Unit 3,,Ipswich,Safford Street,6 Safford Street,Unit 3,,2.0,8/31/2021,12/22/2021,Full
60,Lakeville - Wood's Edge</br>14 Woods Edge Rd.</br>Unit: 25,,Lakeville,Wood's Edge,14 Woods Edge Rd.,25,55+,2.0,3/23/2023,7/26/2023,Full
61,Lakeville - Wood's Edge</br>2 Mary's Way</br>Unit: 31,,Lakeville,Wood's Edge,2 Mary's Way,31,55+,2.0,1/29/2024,1/27/2025,Lite
62,Lancaster - Blue Heron Pond</br>402 Yellow Birch Ln.</br>Unit: 29,,Lancaster,Blue Heron Pond,402 Yellow Birch Ln.,29,55+,2.0,1/17/2023,8/7/2023,Full
63,Leominster - Lancaster Estates</br>14 Caspian Way</br>Unit: 23,,Leominster,Lancaster Estates,14 Caspian Way,23,,2.0,4/25/2024,8/16/2024,Lite
64,Leominster - Lancaster Estates</br>52 Shire Road</br>Unit: 18,,Leominster,Lancaster Estates,52 Shire Road,18,,2.0,2/21/2025,6/10/2025,Lite
65,Leominster - Lancaster Estates</br>95 Shire Road</br>Unit: 45,,Leominster,Lancaster Estates,95 Shire Road,45,,2.0,1/29/2024,,Lite
66,Marblehead - Marblehead Highlands</br>33 Intrepid Cir.</br>Unit: Unit 305,,Marblehead,Marblehead Highlands,33 Intrepid Cir.,Unit 305,,2.0,5/17/2022,7/29/2022,Full
67,Marblehead - Marblehead Highlands</br>33 Intrepid Cir.</br>Unit: Unit 305,,Marblehead,Marblehead Highlands,33 Intrepid Cir.,Unit 305,,2.0,2/6/2024,10/4/2024,Lite
68,Marblehead - Marblehead Highlands</br>33 Intrepid Circle</br>Unit: 304,,Marblehead,Marblehead Highlands,33 Intrepid Circle,304,,2.0,1/26/2024,5/28/2024,Lite
69,Medway - Woodside Condos</br>4 Kingson Lane</br>Unit: Unit 5,,Medway,Woodside Condos,4 Kingson Lane,Unit 5,No,2.0,2/1/2022,4/29/2022,Full
70,Medway - Woodside Condos</br>7 Kingson Lane</br>Unit: Unit 5,,Medway,Woodside Condos,7 Kingson Lane,Unit 5,No,2.0,10/5/2022,11/17/2023,Full
71,Mendon - Cobbler's Knoll</br>24 Haywood Circle</br>Unit: ,,Mendon,Cobbler's Knoll,24 Haywood Circle,,,3.0,1/25/2024,9/20/2024,Lite
72,Merrimac - Cobbler's Brook</br>19 Broad Street</br>Unit: Unit 202,,Merrimac,Cobbler's Brook,19 Broad Street,Unit 202,,2.0,11/3/2021,6/3/2022,Full
73,Merrimac - Cobbler's Brook</br>19 Broad Street</br>Unit: Unit 204,,Merrimac,Cobbler's Brook,19 Broad Street,Unit 204,,2.0,3/27/2023,2/24/2025,Full
74,Merrimac - The Village at Merrimac</br>2 Nancy Ann Lane</br>Unit: ,,Merrimac,The Village at Merrimac,2 Nancy Ann Lane,,55+,3.0,5/10/2024,9/26/2024,Lite
75,Methuen - Fern Hill Estates</br>12 Rebecca Way</br>Unit: Unit 9,,Methuen,Fern Hill Estates,12 Rebecca Way,Unit 9,55+,2.0,8/1/2024,11/19/2024,Lite
76,Methuen - Stone Castle</br>1 Ashley Lane</br>Unit: ,,Methuen,Stone Castle,1 Ashley Lane,,55+,2.0,6/6/2022,8/18/2022,Full
77,Methuen - Stone Castle</br>13 Dunrobin Circle</br>Unit: ,,Methuen,Stone Castle,13 Dunrobin Circle,,55+,2.0,2/14/2025,4/16/2025,Lite
78,Methuen - Stone Castle</br>2 Hastings Circle </br>Unit: ,,Methuen,Stone Castle,2 Hastings Circle ,,55+,1.0,3/2/2023,6/29/2023,Full
79,Methuen - Stone Castle</br>4 Tilbury Road</br>Unit: ,,Methuen,Stone Castle,4 Tilbury Road,,55+,1.0,5/6/2025,,Lite
80,Milford - Beaver Pond Commons</br>34 Beaver Pond Road</br>Unit: 39,,Milford,Beaver Pond Commons,34 Beaver Pond Road,39,,2.0,11/26/2024,8/30/2025,Lite
81,"Milford - Beaver Pond Commons</br>6 Dino Way, Unit 50</br>Unit: 50",,Milford,Beaver Pond Commons,"6 Dino Way, Unit 50",50,,2.0,1/31/2023,4/20/2023,Full
82,Newburyport - Maritime Landing</br>5 Woodman Way</br>Unit: 308B,,Newburyport,Maritime Landing,5 Woodman Way,308B,,2.0,3/20/2024,7/29/2024,Lite
83,Newburyport - Maritime Landing</br>6 Woodman Way</br>Unit: 204A,,Newburyport,Maritime Landing,6 Woodman Way,204A,,2.0,8/1/2024,11/25/2024,Lite
84,Newburyport - Maritime Landing</br>6 Woodman Way</br>Unit: 317A,,Newburyport,Maritime Landing,6 Woodman Way,317A,,1.0,3/23/2023,10/2/2023,Full
85,Newton - Auburndale Yard</br>42 Pine St.</br>Unit: ,,Newton,Auburndale Yard,42 Pine St.,,,2.0,1/5/2024,9/3/2024,Lite
86,Newton - Covenant Residences</br>29 Commonwealth Avenue</br>Unit: 8,,Newton,Covenant Residences,29 Commonwealth Avenue,8,No,1.0,3/6/2025,5/15/2025,Lite
87,Norfolk - Town Center Condos</br>27 Meetinghouse Road</br>Unit: ,,Norfolk,Town Center Condos,27 Meetinghouse Road,,Some 55+,2.0,1/17/2025,,Lite
88,North Andover - Kittredge Crossing</br>180 Chickering Road</br>Unit: 307C,,North Andover,Kittredge Crossing,180 Chickering Road,307C,,2.0,5/19/2022,2/28/2023,Full
89,North Andover - Kittredge Crossing</br>200 Chickering Road</br>Unit: 204B,,North Andover,Kittredge Crossing,200 Chickering Road,204B,,2.0,11/1/2022,11/17/2022,Full
90,North Andover - Meetinghouse Commons</br>106 Cortland Drive</br>Unit: ,,North Andover,Meetinghouse Commons,106 Cortland Drive,,55+,2.0,12/30/2021,12/30/2021,Full
91,North Andover - Meetinghouse Commons</br>129 Cortland Drive</br>Unit: Unit 12,,North Andover,Meetinghouse Commons,129 Cortland Drive,Unit 12,55+,2.0,6/5/2023,9/22/2023,Full
92,North Andover - Meetinghouse Commons</br>178 Cortland Drive</br>Unit: 34,,North Andover,Meetinghouse Commons,178 Cortland Drive,34,55+,2.0,8/5/2024,12/19/2024,Lite
93,North Andover - Meetinghouse Commons</br>30 Cider Press Way</br>Unit: TH9-4,,North Andover,Meetinghouse Commons,30 Cider Press Way,TH9-4,55+,2.0,8/19/2021,12/31/2021,Full
94,North Andover - Meetinghouse Commons</br>8 Ciderpress Way</br>Unit: Unit TH2-3,,North Andover,Meetinghouse Commons,8 Ciderpress Way,Unit TH2-3,55+,2.0,11/7/2021,4/28/2022,Full
95,North Andover - Oakridge Village/Maplewood Reserve</br>1 Harvest Drive</br>Unit: 109,,North Andover,Oakridge Village/Maplewood Reserve,1 Harvest Drive,109,,1.0,10/12/2023,12/14/2023,Lite
96,North Andover - Oakridge Village/Maplewood Reserve</br>1 Harvest Drive</br>Unit: 110,,North Andover,Oakridge Village/Maplewood Reserve,1 Harvest Drive,110,,1.0,11/20/2024,3/7/2025,Lite
97,North Andover - Oakridge Village/Maplewood Reserve</br>1305 Basswood Circle</br>Unit: 13,,North Andover,Oakridge Village/Maplewood Reserve,1305 Basswood Circle,13,,3.0,11/18/2021,4/29/2022,Full
98,North Andover - Oakridge Village/Maplewood Reserve</br>2 Harvest Drive</br>Unit: 104,,North Andover,Oakridge Village/Maplewood Reserve,2 Harvest Drive,104,,1.0,3/7/2022,6/30/2022,Full
99,North Andover - Oakridge Village/Maplewood Reserve</br>2 Harvest Drive</br>Unit: 110,,North Andover,Oakridge Village/Maplewood Reserve,2 Harvest Drive,110,,1.0,5/5/2023,8/11/2023,Full
100,North Andover - Oakridge Village/Maplewood Reserve</br>2 Harvest Drive</br>Unit: 303,,North Andover,Oakridge Village/Maplewood Reserve,2 Harvest Drive,303,,2.0,12/20/2021,2/4/2022,Full
101,North Andover - Oakridge Village/Maplewood Reserve</br>3 Harvest Drive</br>Unit: 105,,North Andover,Oakridge Village/Maplewood Reserve,3 Harvest Drive,105,,1.0,4/20/2022,7/29/2022,Full
102,North Andover - Oakridge Village/Maplewood Reserve</br>4 Harvest Drive</br>Unit: 212,,North Andover,Oakridge Village/Maplewood Reserve,4 Harvest Drive,212,,1.0,5/10/2022,7/27/2022,Full
103,North Reading - Central Place</br>63 Central Street</br>Unit: 101,,North Reading,Central Place,63 Central Street,101,55+,2.0,8/2/2023,9/29/2023,Lite
104,North Reading - Central Place</br>63 Central Street</br>Unit: 101,,North Reading,Central Place,63 Central Street,101,55+,2.0,7/20/2023,,Full
105,North Reading - Central Place</br>63 Central Street</br>Unit: 107,,North Reading,Central Place,63 Central Street,107,55+,2.0,6/14/2024,1/16/2025,Lite
106,North Reading - Central Place</br>63 Central Street</br>Unit: 109,,North Reading,Central Place,63 Central Street,109,55+,2.0,10/3/2022,1/25/2023,Full
107,North Reading - Central Place</br>63 Central Street</br>Unit: 203,,North Reading,Central Place,63 Central Street,203,55+,2.0,11/8/2024,3/14/2025,Lite
108,Northborough - Church Street Village</br>14 Autumn Lane</br>Unit: Unit 14,,Northborough,Church Street Village,14 Autumn Lane,Unit 14,,2.0,1/3/2025,4/15/2025,Lite
109,Northborough - Church Street Village</br>14 Autumn Lane</br>Unit: Unit 14,,Northborough,Church Street Village,14 Autumn Lane,Unit 14,,2.0,8/24/2022,,Full
110,Northborough - Church Street Village</br>23 Autumn Lane</br>Unit: Unit 23,,Northborough,Church Street Village,23 Autumn Lane,Unit 23,,2.0,7/18/2022,8/16/2022,Full
111,Norton - Arrowhead Village</br>8 Kayak Trail</br>Unit: ,,Norton,Arrowhead Village,8 Kayak Trail,,,3.0,6/17/2024,10/30/2024,Lite
112,Norton - Woodland Green</br>15 Goldenwood Drive</br>Unit: Unit 35,,Norton,Woodland Green,15 Goldenwood Drive,Unit 35,,2.0,3/6/2023,9/15/2023,Full
113,Orleans - Wise Living</br>18 West Road</br>Unit: 212,,Orleans,Wise Living,18 West Road,212,62+,2.0,8/6/2024,6/17/2025,Lite
114,Pembroke - Barker Square</br>5 Barker Square Drive</br>Unit: Unit 24,,Pembroke,Barker Square,5 Barker Square Drive,Unit 24,55+,2.0,7/19/2023,12/15/2023,Full
115,Pembroke - Barker Square</br>7 Barker Square Drive</br>Unit: Unit 23,,Pembroke,Barker Square,7 Barker Square Drive,Unit 23,55+,2.0,9/30/2022,,Full
116,Rockland - Maplewood Estates</br>15 Corn Mill Way</br>Unit: ,,Rockland,Maplewood Estates,15 Corn Mill Way,,,3.0,7/19/2023,1/26/2024,Full
117,"Sandwich - Granite Ridge</br>16 Cobblestone Way</br>Unit: ""house 16""",,Sandwich,Granite Ridge,16 Cobblestone Way,"""house 16""",,3.0,8/16/2024,12/4/2024,Lite
118,Southborough - Meeting House Lane</br>27 Meeting House Lane</br>Unit: 29,,Southborough,Meeting House Lane,27 Meeting House Lane,29,,2.0,2/27/2024,7/8/2024,Lite
119,Sterling - Stonegate Village</br>1A Lindas Way</br>Unit: 13,,Sterling,Stonegate Village,1A Lindas Way,13,,2.0,8/21/2024,11/15/2024,Lite
120,Stoughton - Village at Ames Pond</br>24 Conservation Way</br>Unit: ,,Stoughton,Village at Ames Pond,24 Conservation Way,,55+,2.0,1/9/2024,,Lite
121,Stoughton - Village at Ames Pond</br>27 Conservation Way</br>Unit: ,,Stoughton,Village at Ames Pond,27 Conservation Way,,55+,2.0,9/14/2021,1/16/2022,Full
122,Sturbridge - Crescent Gate</br>7 Crescent Way</br>Unit: Unit 103,,Sturbridge,Crescent Gate,7 Crescent Way,Unit 103,55+,1.0,4/19/2024,7/25/2024,Lite
123,Sturbridge - Crescent Gate</br>7 Crescent Way</br>Unit: Unit 201,,Sturbridge,Crescent Gate,7 Crescent Way,Unit 201,55+,2.0,11/1/2022,2/24/2023,Full
124,Sturbridge - Crescent Gate</br>7 Crescent Way</br>Unit: Unit 205,,Sturbridge,Crescent Gate,7 Crescent Way,Unit 205,55+,2.0,6/3/2022,6/3/2022,Full
125,Sturbridge - Crescent Gate</br>7 Crescent Way</br>Unit: Unit 301,,Sturbridge,Crescent Gate,7 Crescent Way,Unit 301,55+,2.0,8/15/2022,1/17/2023,Full
126,Sturbridge - Crescent Gate</br>7 Crescent Way</br>Unit: Unit 305,,Sturbridge,Crescent Gate,7 Crescent Way,Unit 305,55+,2.0,7/12/2024,12/31/2024,Lite
127,Sturbridge - Crescent Gate</br>7 Crescent Way</br>Unit: Unit 309,,Sturbridge,Crescent Gate,7 Crescent Way,Unit 309,55+,1.0,3/21/2022,5/27/2022,Full
128,Sturbridge - Crescent Gate</br>7 Crescent Way</br>Unit: Unit 309,,Sturbridge,Crescent Gate,7 Crescent Way,Unit 309,55+,1.0,2/24/2023,5/11/2023,Full
129,Taunton - Powhattan Estates</br>105 Metacomet Avenue</br>Unit: Lot 81,,Taunton,Powhattan Estates,105 Metacomet Avenue,Lot 81,,3.0,5/2/2024,7/26/2024,Lite
130,Taunton - Powhattan Estates</br>130 Powhattan Drive</br>Unit: Lot 15,,Taunton,Powhattan Estates,130 Powhattan Drive,Lot 15,,,5/18/2022,,Full
131,Taunton - Powhattan Estates</br>55 Meeshawn Avenue</br>Unit: Lot 64,,Taunton,Powhattan Estates,55 Meeshawn Avenue,Lot 64,,3.0,10/19/2022,6/8/2023,Full
132,Taunton - Powhattan Estates</br>65 Metacomet Avenue</br>Unit: ,,Taunton,Powhattan Estates,65 Metacomet Avenue,,,3.0,9/17/2021,,Full
133,Taunton - The Settlement</br>4 Arabian Drive</br>Unit: ,,Taunton,The Settlement,4 Arabian Drive,,,3.0,9/6/2022,12/1/2022,Full
134,Templeton - Daymill Townhouses</br>12 Day Mill Drive</br>Unit: ,,Templeton,Daymill Townhouses,12 Day Mill Drive,,,2.0,7/17/2023,,Full
135,Templeton - Daymill Townhouses</br>14 Old Mill Lane</br>Unit: ,,Templeton,Daymill Townhouses,14 Old Mill Lane,,,2.0,7/3/2023,11/29/2023,Full
136,Templeton - Daymill Townhouses</br>23 Day Mill Drive</br>Unit: ,,Templeton,Daymill Townhouses,23 Day Mill Drive,,,2.0,10/7/2022,11/28/2022,Full
137,Templeton - Daymill Townhouses</br>24 Water Wheel Circle</br>Unit: ,,Templeton,Daymill Townhouses,24 Water Wheel Circle,,,2.0,8/2/2024,2/14/2025,Lite
138,Townsend - Coppersmith Way II</br>1 Lois Lane</br>Unit: ,,Townsend,Coppersmith Way II,1 Lois Lane,,,3.0,3/21/2025,,Lite
139,Townsend - Coppersmith Way</br>13 Coppersmith Way</br>Unit: 13,,Townsend,Coppersmith Way,13 Coppersmith Way,13,,2.0,10/26/2023,4/5/2024,Lite
140,Townsend - Coppersmith Way</br>9 Coppersmith Way</br>Unit: 9,,Townsend,Coppersmith Way,9 Coppersmith Way,9,,2.0,1/26/2022,8/19/2022,Full
141,Tyngsborough - Tyngsborough Crossing</br>74 Riley Road</br>Unit: 88,,Tyngsborough,Tyngsborough Crossing,74 Riley Road,88,,2.0,4/5/2024,8/2/2024,Lite
142,Tyngsborough - Village at Maple Ridge</br>3 Dickens Lane</br>Unit: ,,Tyngsborough,Village at Maple Ridge,3 Dickens Lane,,55+,3.0,8/12/2022,1/19/2023,Full
143,Tyngsborough - Village at Maple Ridge</br>3 Steinbeck Street</br>Unit: ,,Tyngsborough,Village at Maple Ridge,3 Steinbeck Street,,55+,1.0,5/9/2022,7/29/2022,Full
144,Wakefield - Millbrook Estates</br>1 Millbrook Lane</br>Unit: 302,,Wakefield,Millbrook Estates,1 Millbrook Lane,302,,2.0,6/13/2023,3/21/2024,Full
145,Wakefield - Millbrook Estates</br>1 Millbrook Lane</br>Unit: Unit 101,,Wakefield,Millbrook Estates,1 Millbrook Lane,Unit 101,,,9/20/2021,3/16/2021,Full
146,Wakefield - Millbrook Estates</br>1 Millbrook Lane</br>Unit: Unit 213,,Wakefield,Millbrook Estates,1 Millbrook Lane,Unit 213,,2.0,3/27/2024,10/14/2024,Lite
147,Wakefield - Millbrook Estates</br>1 Millbrook Lane</br>Unit: Unit 214,,Wakefield,Millbrook Estates,1 Millbrook Lane,Unit 214,,1.0,7/29/2024,,Lite
148,Wareham - Carleton Place</br>11 Carleton Street</br>Unit: ,,Wareham,Carleton Place,11 Carleton Street,,,2.0,6/13/2022,2/16/2023,Full
149,Wareham - Cedar Farm Estates</br>39 Swifts Beach Road</br>Unit: ,,Wareham,Cedar Farm Estates,39 Swifts Beach Road,,,3.0,1/12/2024,5/24/2024,Lite
150,Wareham - Hunter Estates</br>22 Hunter Avenue</br>Unit: ,,Wareham,Hunter Estates,22 Hunter Avenue,,,2.0,7/5/2023,10/17/2023,Full
151,West Boylston - Afra Terrace</br>1 Jasmine Drive</br>Unit: Unit 23,,West Boylston,Afra Terrace,1 Jasmine Drive,Unit 23,No,3.0,7/19/2022,10/24/2022,Full
152,West Boylston - Afra Terrace</br>103 Afra Drive</br>Unit: Unit 51,,West Boylston,Afra Terrace,103 Afra Drive,Unit 51,No,3.0,11/2/2023,,Lite
