Property,application_count,price_num,applicant_median_lon,applicant_median_lat,property_longitude,property_latitude,median_distance_miles,avg_distance_miles,min_distance_miles,max_distance_miles
11-B Trail Ridge,3,215400.0,-71.2342248,42.466763,-71.5403435,42.5053207,30.20169691658191,32.70787826639755,17.18341104706096,50.73852683554979
"110 Dillingham Ave, Unit 105 ~ Falmouth (62+)... (first come, first served)",3,226381.0,-71.0079688,42.0190922,-70.6085826,41.5563136,37.99627765555454,32.771008205491405,0.4606136387137071,59.85613332220596
65 Metacomet Ave.,3,263600.0,-71.0931485,41.9019257,-71.0249999,41.8609946,4.501066248343733,8.17483300254434,4.501066248343733,15.522366510945554
1305 basswood circle,3,208800.0,-71.0786653,42.5750939,-71.0603922,42.6222821,4.744902765154666,7.700762328839267,3.3879030505002268,14.969481170862908
"110 Dillingham Ave, Unit 105 ~ Falmouth (62+) (first come, first served)",2,226381.0,-71.0079688,42.0190922,-70.6085826,41.5563136,37.99627765555454,37.99627765555454,37.99627765555454,37.99627765555454
902 Main St. Unit 39 ~ Hanson,2,325655.0,-70.97557864999999,42.3148245,-70.8725321,42.0423417,19.53816799525112,19.53816799525112,12.813181079348487,26.263154911153748
"7 Crescent Way, Unit 103 ~ Sturbridge (age restricted)",2,199585.0,-71.7812268,42.218170400000005,-72.1027364,42.115975,21.84679327005132,21.84679327005132,8.497232902607317,35.19635363749533
2 Marys Way ~ Lakeville (age restricted),2,256800.0,-71.16806085,42.1963375,-70.9249869,41.8688392,26.932839400246053,26.932839400246053,23.305198334059618,30.56048046643249
"63 Central St., 101",2,249896.0,-71.2039455,42.5608536,,,,,,
63 Central St. Unit 109,2,236900.0,-71.06627805,42.44164035,-72.5804842,42.0976114,80.93338995223924,80.93338995223924,80.53998574798914,81.32679415648934
2 Hastings Circle,2,273400.0,-71.28275595,42.39601415,-71.2333088,42.7148706,24.996261904120438,24.996261904120438,23.66397673070308,26.328547077537795
"250 Main St, Unit 317 ~ Hudson (first come, first served)",2,294561.0,-70.9697028,41.98780725,-71.5618299,42.3918807,41.601542335826345,41.601542335826345,3.1446182834128034,80.05846638823989
"501 Commerce Drive, Unit 2-201",2,266200.0,-71.1294094,42.33128615,-70.973677,42.194028,12.392436868341843,12.392436868341843,8.798690761956474,15.986182974727212
211 East St. Unit 9,2,188800.0,-71.8003094,42.39937675,-71.7845075,42.5898031,47.01870894666244,47.01870894666244,43.73559938984692,50.301818503477975
"248 Main Street, 204 ~ Hudson (55+)",2,296500.0,-71.09438725,41.94565885,-71.5676895,42.3913503,47.5802756765611,47.5802756765611,14.89936260089274,80.26118875222946
"7 Crescent Way, Unit 305 ~ Sturbridge (55+) (first come, first served)",1,234500.0,-71.8644387,42.1170157,-72.1027364,42.115975,12.204996057533716,12.204996057533716,12.204996057533716,12.204996057533716
402 Yellow Birch Lane,1,250700.0,-71.1020262,42.5260297,-71.6762539,42.4411359,29.820684592263643,29.820684592263643,29.820684592263643,29.820684592263643
Falmouth - (age restricted) 110 Dillingham,1,,-70.6147519,41.5514979,-70.6085826,41.5563136,0.4606136387137071,0.4606136387137071,0.4606136387137071,0.4606136387137071
"902 Main St. Unit 39 ~ Hanson (first come, first served) (age restricted)",1,325655.0,-71.065573,42.2501425,-70.8725321,42.0423417,17.421641047326005,17.421641047326005,17.421641047326005,17.421641047326005
"84 Cocasset Street, Unit B2 ~ Foxborough - (first come, first serve)",1,244852.0,-71.1447732,42.1584324,-71.2385122,42.0644887,8.070071612701291,8.070071612701291,8.070071612701291,8.070071612701291
"19 Broad Street, Unit 202",1,235200.0,-70.8719271,42.8116592,-71.0546987,42.3587413,32.62291975488828,32.62291975488828,32.62291975488828,32.62291975488828
"18 West Road, Unit 212 ~ Orleans (age restricted)",1,235185.0,-71.0079688,42.0190922,-69.9991551,41.7827424,54.350658033144605,54.350658033144605,54.350658033144605,54.350658033144605
"7 Crescent Way, Unit 309",1,176200.0,-71.9107903,42.5449024,-72.1027364,42.115975,31.19393998174612,31.19393998174612,31.19393998174612,31.19393998174612
"250 Main Street, Unit 211B ~ Hudson",1,212100.0,-71.5676895,42.3913503,-71.5618299,42.3918807,0.3010380908921941,0.3010380908921941,0.3010380908921941,0.3010380908921941
"250 Main Street, Unit 211B ~ Hudson (age restricted)",1,212100.0,-71.5676895,42.3913503,-71.5618299,42.3918807,0.3010380908921941,0.3010380908921941,0.3010380908921941,0.3010380908921941
